title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary
Forrest Gump,1994,,8,10,15,6,3,3,,,,,,"{""overall"": ""Forrest Gump is a structurally unusual case: the protagonist rises from humble origins to extraordinary wealth and fame through a combination of earnest effort and absurd luck, and the film endorses this ascension warmly without critique — landing it near the bottom of the wealth dimension. Its emotional core around unconditional love, innocence, and loss is genuinely moving, but the film's treatment of race and its passive female characters drag down inclusion and romance scores."", ""wealth"": ""Forrest ends the film wealthy, celebrated, and famous; the story endorses this outcome as a reward for his goodness, but the ascension is largely luck-driven rather than earned through depicted grind — closer to the Aladdin/Cinderella band than Cars, scoring low accordingly."", ""agency"": ""Forrest makes sincere choices (joining the army, running, starting Bubba Gump) but the outcomes are so heavily luck-dependent and destiny-flavored that his agency is substantially diluted; he solves his own logistical story but not his emotional one, which resolves through Jenny's choices."", ""core"": ""The film has real emotional substance — grief, unconditional love, the randomness of fate — but it is wrapped in a nostalgic, somewhat shallow 'life is like a box of chocolates' frame that softens its depth compared to Inside Out or Coco."", ""music"": ""The film relies on a dense licensed soundtrack of era-defining pop and rock rather than original songs; the music is evocative and well-curated but does no narrative storytelling work of its own."", ""inclusion"": ""Band 4/10 (Passive Exclusion): Bubba is a warm Black character whose entire existence serves Forrest's story arc and whose family's wealth ultimately flows through Forrest's benevolence — a textbook missed opportunity that tips into passive othering rather than genuine representation."", ""romance"": ""Jenny is framed throughout as Forrest's prize and emotional destination, and her arc is largely defined by her relationship to him; the romance is not the sole point of the film but it is never subverted or balanced by Jenny's own interiority being treated as equally central.""}"
The Matrix,1999,,20,15,15,5,5,4,,,,,,"{""overall"": ""The Matrix is a chosen-one ascension story in which Neo is literally prophesied to be 'The One,' making his specialness fundamentally inherited from destiny rather than earned — the Oracle and Morpheus frame him as cosmically pre-selected. The emotional core around identity and reality is genuinely substantial, but the structure rewards a man for being born special, which drags the rubric score down hard on the most weighted dimension."", ""wealth"": ""Neo is the fulfillment of a prophecy — his power is destiny-assigned, not self-made, and the story's endorsed outcome is his ascension to godlike status; this lands in the 0-8 band (status ascension as endorsed reward), scoring slightly above the floor because the film gestures at doubt and choice around the prophecy."", ""agency"": ""Neo makes meaningful choices — rejecting the blue pill, returning to save Morpheus, choosing to believe — but his ultimate victory is substantially destiny-assisted (the Oracle's prophecy, Trinity's love-kiss resurrection), splitting the credit enough to land below the top band."", ""core"": ""Beneath the action, the film is genuinely about identity, reality, and the courage to reject a comfortable lie — a real and resonant emotional core that earns the 13-15 band, though it is somewhat subordinated to spectacle."", ""music"": ""The film relies on a licensed industrial/rock soundtrack and Don Davis's orchestral score rather than original story-carrying songs, placing it squarely in the score-only/licensed band."", ""inclusion"": ""Band 6/10 (Neutral-to-positive): The ensemble is notably diverse for 1999 (Morpheus, Tank, Oracle all Black characters in prominent, dignified roles) but inclusion is incidental set-dressing rather than a taught lesson, and the film's world doesn't actively harm any group."", ""romance"": ""Trinity's love is narratively functional — it literally resurrects Neo — which edges the romance toward 'being chosen as the prize' territory, but it is not the film's primary reward structure, landing it in the present-but-balanced middle range rather than the bottom.""}"
The Dark Knight,2008,,4,13,15,5,3,4,,,,,,"{""overall"": ""The Dark Knight is a morally serious crime thriller whose protagonist is defined entirely by inherited wealth and chosen identity — Bruce Wayne's billions are the uncritiqued engine of everything he does, and status ascension (as a costumed vigilante saviour) is the endorsed outcome. Its emotional core around chaos, order, and sacrifice is genuinely substantial, but the film's world is overwhelmingly male, white, and presents women as peripheral or disposable."", ""wealth"": ""Bruce Wayne is born into extreme wealth that is never critiqued or examined as hollow — it is simply the prerequisite for all heroism, placing this firmly in the 0-8 band; a slight bump above the floor because the story is nominally about sacrifice rather than status reward."", ""agency"": ""Batman makes consequential choices throughout — the sonar gambit, refusing to kill the Joker, taking the fall for Dent — but the Joker drives the plot and Batman is frequently reactive, diluting full agency to the 13-15 band."", ""core"": ""The film has a genuinely substantial emotional and philosophical core about the cost of idealism, the nature of chaos versus order, and what a city needs to believe in — richer than standard adventure beats but not as personally intimate as grief or identity films like Coco."", ""music"": ""Hans Zimmer and James Newton Howard's score is atmospheric and thematically purposeful but there are no songs and the score functions as tension-maintenance rather than narrative carrier, landing squarely in the score-only band."", ""inclusion"": ""Band 3/10 (harmful stereotyping present): The cast is almost entirely white and male, women exist primarily as love interest or victim (Rachel is killed to motivate male characters), and the film's moral universe presents no meaningful representation — passive exclusion tips into mild active harm via the fridging of its sole significant female character."", ""romance"": ""Rachel is a love interest shared between Bruce and Harvey and her death functions as male-character motivation rather than her own arc, but romance is not framed as the prize — it is present and subordinate, landing in the balanced middle range.""}"
American Gangster,2007,,2,13,8,5,2,3,,,,,,"{""overall"": ""American Gangster is a prestige crime film that structurally endorses Frank Lucas's self-made ascension to drug kingpin wealth and power as the compelling, glamorized throughline — the rubric penalizes the endorsed outcome regardless of whether it is inherited or climbed. The emotional core is thin beneath the surface spectacle of status and dominance, and the film's world is saturated with harmful stereotyping of Black communities as criminal underclass and women as props."", ""wealth"": ""Self-made ascension to extreme wealth and criminal empire is the story's engine and is framed with admiration and style throughout, landing squarely in the 0-8 band alongside Scarface and Goodfellas."", ""agency"": ""Frank Lucas drives his own story with deliberate, consequential choices at every turn, and Richie Roberts similarly solves his arc through personal determination — both protagonists are highly agentic, though the split protagonist structure dilutes a perfect score."", ""core"": ""The film gestures at themes of integrity and institutional corruption but the emotional core is primarily the spectacle of power and status acquisition, placing it below the threshold of genuine substance."", ""music"": ""The film relies on a period-appropriate licensed soul and funk soundtrack with no original songs; it functions as atmospheric scoring rather than story-carrying music."", ""inclusion"": ""Band 2/10 (harmful stereotyping present): The film traffics in the criminal-Black-community-as-spectacle framing, women are largely props or victims, and the corrupt Black institutions are othered while the white law enforcement hero arc is centered — harmful stereotyping is present in the text."", ""romance"": ""Romance is present but peripheral and functional rather than a prize framing; neither protagonist's arc is resolved through romantic attachment.""}"
The Godfather,1972,,4,13,13,6,2,3,,,,,,"{""overall"": ""The Godfather is a film about dynastic crime-family power where status ascension and inherited authority are the story's endorsed rewards — Michael's transformation from civilian to Don is framed as tragic but inevitable and ultimately glamorised. The rubric penalises the endorsed outcome regardless of moral complexity, and the film's operatic grandeur consistently aestheticises the very power structures it nominally critiques."", ""wealth"": ""Lands at 4: status ascension is the endorsed reward — Michael climbs to Don, the closing door sealing his coronation as a triumphant, if melancholy, image; the rubric anchor Aladdin scores 5 and The Lion King 4, and this film sits squarely in that band."", ""agency"": ""Michael makes consequential, deliberate choices throughout — the restaurant murder, the war strategy, the final purge — giving him genuine agency, though the 'destiny' framing of his inheritance slightly dilutes pure self-determination; 13 reflects strong but destiny-shadowed agency."", ""core"": ""The emotional core is genuinely about loyalty, family obligation, and the corruption of identity — real substance — but it is complicated by the fact that the film aestheticises rather than fully interrogates the cost, landing it at 13 rather than the top band."", ""music"": ""Nino Rota's score is iconic and emotionally functional but is purely instrumental underscore with no original songs carrying narrative; scores as a strong score-only entry at 6."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present): Italian-Americans are rendered as a monolithic criminal ethnic bloc, women are confined to passive domestic or decorative roles with no interiority, and the Sicilian episode exoticises its setting; harmful othering is woven into the text."", ""romance"": ""Michael's courtship of Kay is present but entirely subordinate to the crime narrative, and Kay's ultimate role as a shut-out wife tips the framing toward women-as-peripheral rather than romance-as-prize; a middling 3.""}"
Goodfellas,1990,,6,10,8,6,2,2,,,,,,"{""overall"": ""Goodfellas is a masterpiece of cinema but scores catastrophically on this rubric: it endorses status ascension through crime as glamorous and thrilling for most of its runtime, only tacking on a deflating ending that the film's own style has already undercut. The structural lesson a child absorbs is that the mob life is exciting, lucrative, and cool — the cautionary note arrives too late and too weakly to override two hours of endorsed spectacle."", ""wealth"": ""Scores 6: status ascension is the endorsed reward for the bulk of the film — Henry climbs from nobody kid to respected wiseguy and the camera celebrates every step with kinetic energy and luxury; the rubric penalises the endorsed outcome regardless of a late moral."", ""agency"": ""Henry makes active, consequential choices throughout — joining the mob, running drugs against orders, flipping — so he is not passive, but his 'solving' of his own story is via betrayal and witness protection, a deeply compromised and luck-assisted resolution that caps agency well below the top band."", ""core"": ""The emotional core is nominally about belonging and identity (the outsider kid who finds his tribe) but the film never excavates that with honesty — it remains largely at the level of lifestyle spectacle, earning standard adventure/crime beats rather than genuine emotional depth."", ""music"": ""The licensed rock-and-pop soundtrack is iconic and expertly deployed but is entirely diegetic/licensed with no original songs, landing in the score-only/licensed band; it functions more as period atmosphere than emotional storytelling."", ""inclusion"": ""Band 2/10 (harmful stereotyping present): Italian-Americans are portrayed through mob caricature, women are wives/mistresses with no interiority, and the film's gaze consistently others and degrades non-white characters at the margins without critique."", ""romance"": ""Karen's relationship with Henry is framed as exciting and aspirational despite his violence and infidelity; marriage here is entrapment and complicity, not a prize, but the film's glamorising lens means romance is far from subverted — scores 2.""}"
Scarface,1983,,2,13,8,5,2,1,,,,,,"{""overall"": ""Scarface is a cautionary tale in intent but a glorification engine in practice: the film's visual grammar, runtime, and cultural afterlife all endorse Tony Montana's ascension far more than his fall, making it structurally toxic for child viewers across nearly every rubric dimension. The protagonist is self-made but the rubric explicitly penalises endorsed ascension regardless of origin, and the film's endorsement is overwhelming."", ""wealth"": ""Lands at 2 (status ascension as endorsed reward, climbed not born): Tony's rise from refugee to drug kingpin is framed with operatic grandeur — the mansion, the mountain of cocaine, the 'world is yours' blimp — and the fall is too brief and too cool to function as genuine critique."", ""agency"": ""Scores 13 rather than 17 because Tony's choices are genuinely his own and drive every plot turn, but his agency is in service of pure self-destruction with no redemptive decision-making, and the climax is a one-man-army fantasy that tips into wish-fulfilment rather than consequence."", ""core"": ""Lands at 4 (core is status and validation): the film gestures at immigrant alienation and family loyalty but never develops them honestly — the emotional engine is almost entirely Tony's hunger for power and respect, which the film aestheticises rather than interrogates."", ""music"": ""Giorgio Moroder's synth score is period-iconic and does atmospheric work, but there are no story-carrying original songs and the soundtrack functions as cool-signalling rather than emotional architecture, placing it in the score-only band at 5."", ""inclusion"": ""Band 2/10 (harmful stereotyping present in the text): Cuban and Latino characters are broadly drawn as violent criminals or corrupt officials, the film's entire world is organised around ethnic criminal underclasses, and women exist almost exclusively as trophies or victims with no interiority."", ""romance"": ""Scores 1: Elvira is explicitly acquired as a status symbol alongside the mansion and the car, Tony's obsession with her is possessive and transactional, and she has no romantic agency of her own — being chosen (and then discarded) is the entirety of her arc.""}"
The Wolf of Wall Street,2013,,2,10,4,5,0,0,,,,,,"{""overall"": ""The Wolf of Wall Street is structurally one of the most damaging films imaginable for a child viewer: it presents status ascension through fraud as thrilling, its 'consequences' are mild enough to read as a price worth paying, and women and minorities exist almost exclusively as props for male excess. The rubric's anchors place it at the floor on nearly every dimension."", ""wealth"": ""Status ascension is the explicit, glamorised, and endorsed reward of the entire narrative — Jordan Belfort climbs from nothing to obscene wealth through crime and the film's energy is almost entirely in celebration of that climb; this is the textbook 0-8 band, landing at 2 because a nominal legal consequence exists but is thoroughly undercut by the triumphant final seminar scene."", ""agency"": ""Belfort drives every choice in the story with relentless, self-directed volition — he is never passive — so agency scores high in the mechanical sense, but the rubric scores the protagonist's choices, not their morality; he solves his own story, landing at 13 rather than 17 because external pressure (the FBI) ultimately forces his hand."", ""core"": ""The emotional core is the glorification of appetite — wealth, sex, and power as ends in themselves — with no honest reckoning; the film gestures at hollowness but its kinetic, comedic framing consistently endorses the lifestyle it nominally critiques, placing it in the 0-4 band."", ""music"": ""The film relies on a licensed classic-rock and pop soundtrack rather than original songs or a composed score doing narrative work, placing it in the 5-6 band."", ""inclusion"": ""Band 0/10 (active degradation as spectacle): Women are systematically presented as commodities — naked bodies used as office furniture, wives and mistresses interchangeable trophies — and the film frames this as spectacle and comedy rather than critique; this matches the rubric's explicit 0 anchor."", ""romance"": ""Women exist as sexual acquisitions and status symbols; marriage is a transaction and being chosen is framed as a prize for male success, placing this at the floor of the 0-2 band.""}"
The Princess and the Frog,2009,,8,15,15,9,8,3,,,,,,"{""overall"": ""Tiana is a genuinely self-made protagonist whose dream is built on labour and sacrifice, but the film's endorsed reward is ultimately a restaurant AND a prince, and the climax leans on Naveen's sacrifice and Ray's death to resolve the curse rather than Tiana's own decisive action alone. The emotional core around her father's legacy and the meaning of hard work is real and warm, and the New Orleans setting gives the music genuine cultural weight."", ""wealth"": ""Status-ascension is the endorsed outcome — Tiana ends the film as a princess with a restaurant, and while the grind is depicted, the rubric penalises the endorsed reward; the prince-and-palace package pushes this toward the 0-8 band, though the explicit critique of wealth-as-shortcut (Naveen's arc) and Tiana's working-class roots keep it just above the floor, landing around 8."", ""agency"": ""Tiana drives most of the story through her own choices and values, but the curse's resolution depends critically on Naveen's willingness to sacrifice himself and the magical intervention of Mama Odie's guidance, diluting her sole authorship of the climax."", ""core"": ""The film has genuine emotional substance — Tiana's relationship with her late father, the tension between dreaming and doing, and learning that love is part of 'what you need' — though the arc is tidier and less psychologically complex than the top-tier anchors."", ""music"": ""Randy Newman's score and original songs ('Almost There,' 'Friends on the Other Side,' 'Down in New Orleans') are narratively integrated and stylistically rich in jazz and gospel idioms, with only minor gaps in the second act keeping it from a 10."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The film centres a Black female protagonist in a historically grounded New Orleans setting with meaningful cultural specificity, and while anti-prejudice is not the explicit lesson, Tiana's navigation of race and class barriers is present in the subtext."", ""romance"": ""Romance is present and becomes central to the resolution, but it is balanced against Tiana's independent ambition and the film explicitly critiques Naveen's shallow charm, preventing it from being purely a 'being-chosen' prize.""}"
Willy Wonka & the Chocolate Factory,1971,,8,13,15,10,5,6,,,,,,"{""overall"": ""Charlie Bucket is genuinely poor and earns his reward through moral virtue rather than birth, but the ending hands him an entire inherited empire (the factory) as the prize, which is unexamined status ascension dressed in golden-ticket clothing. The emotional core about imagination, integrity, and resisting temptation is real and resonant, and the film's songs are memorable story-carriers, but the structural lesson is ultimately 'be good and a rich eccentric will give you everything.'"", ""wealth"": ""Charlie starts ordinary and poor (pushing toward 40) but the endorsed reward is inheriting a vast magical industrial empire with zero depicted grind — unexamined ascension lands this in the 20-25 band, nudged up slightly because poverty is genuinely depicted and the moral test is foregrounded."", ""agency"": ""Charlie makes the key moral choice (returning the Everlasting Gobstopper) that unlocks the ending, which is strong individual agency, but the entire plot is driven by Wonka's orchestrated test and Charlie is largely reactive throughout the factory tour, splitting the score toward the lower end of the 13-15 band."", ""core"": ""Beneath the fantasy spectacle is a genuine meditation on integrity, imagination versus greed, and the idea that goodness is its own credential — real substance, though the arc is relatively simple and the other children function as cautionary cartoons rather than emotional depth."", ""music"": ""The Leslie Bricusse/Anthony Newley songs ('Pure Imagination,' 'The Candy Man,' 'I've Got a Golden Ticket') are original, story-integrated, and genuinely memorable, falling just short of a 10 because several key dramatic moments rely on score rather than song."", ""inclusion"": ""Band 5/10 (Neutral): The cast is largely homogeneous and the world is presented without prejudice lessons or meaningful representation, but no group is actively harmed or stereotyped — a passive neutral."", ""romance"": ""Romance is entirely absent from the narrative; the story's emotional relationships are familial (Charlie and Grandpa Joe) and mentorial (Charlie and Wonka), earning a full score.""}"
