title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary
Forrest Gump,1994,,22,10,17,5,5,3,,,,,,"{""overall"": ""Forrest Gump is a deeply emotional film about innocence, love, and the randomness of fate, anchored by a protagonist who is genuinely ordinary in origin but whose life is repeatedly shaped by luck and historical coincidence as much as by his own choices. The emotional core is rich and honest — grief, unconditional love, belonging — but the structure endorses a kind of magical passivity where goodness is rewarded without a real grind, and Forrest accumulates wealth (shrimping empire, Apple stock) as a byproduct of stumbling through history rather than through earned struggle."", ""wealth"": ""Forrest is born poor and low-status, which keeps him out of the bottom band, but the story endorses his ascension to considerable wealth (Bubba Gump Shrimp Co., accidental Apple investment) without critique or meaningful grind — it arrives as cosmic reward for being good, landing closer to the 20-band than the 40-band."", ""agency"": ""Forrest makes genuine choices — running, joining the army, honoring Bubba, caring for Jenny — but many of his most consequential outcomes are luck-driven or historically accidental; he is present at events rather than driving them, placing him between the strong-agency and luck-heavy bands."", ""core"": ""The emotional core is genuinely deep: unconditional love, grief over Jenny and Bubba and Mrs. Gump, the pain of not being chosen back, and the question of whether life is fate or chance — this is honest, substantial emotional territory at the level of the top band."", ""music"": ""The film uses a licensed period soundtrack (CCR, Elvis, etc.) that is evocative and well-curated but carries no original songs and does no narrative heavy lifting beyond mood and era-setting."", ""inclusion"": ""Band 5/10 (Neutral): The film features Black characters (Bubba, Lieutenant Dan's ancestors) with some dignity, and gestures at civil rights history, but the story is told entirely through a white protagonist's gaze and the Black characters exist primarily to serve his arc; no prejudice lesson is taught and no group is actively harmed as spectacle, landing at neutral."", ""romance"": ""Jenny is a lifelong emotional obsession and Forrest does eventually marry her, but the film does not frame marriage as the prize — it frames it as bittersweet, brief, and ultimately about loss; romance is present but balanced against grief and acceptance.""}"
The Matrix,1999,,22,13,17,5,7,3,,,,,,"{""overall"": ""The Matrix is a structurally rich film whose emotional core — identity, reality, free will vs. determinism — is genuinely deep and honest. Neo is born-special in a way the narrative leans into heavily (The One prophecy), but he earns his awakening through choice and sacrifice; however, the prophecy scaffolding keeps him from full agency. Romance is present but secondary to the main arc."", ""wealth"": ""Neo is an ordinary office worker/hacker with no inherited wealth or status, but the story's engine is a prophecy of born-into greatness (The One), which does meaningful narrative work without being fully examined as hollow — landing between the 20 (unexamined born-into greatness) and 35 bands, closer to 20 given how central the prophecy is to his specialness."", ""agency"": ""Neo makes the pivotal choice to take the red pill and ultimately chooses to believe in himself over the Oracle's apparent verdict, but Morpheus, Trinity, and the prophecy framework all heavily scaffold his arc — the climax is partly destiny-assisted and partly self-willed, placing him firmly in the split/diluted band."", ""core"": ""The film's emotional core is a genuinely profound meditation on identity, reality, free will, and self-belief — 'you have to let it all go, Neo — fear, doubt, and disbelief' — earning the top band."", ""music"": ""The film relies on a licensed/composed score and licensed rock tracks (no original story-carrying songs), placing it squarely in the score-only/licensed soundtrack band."", ""inclusion"": ""Band 7/10 (Meaningful representation, not the lesson): The ensemble is notably diverse in race and gender for a 1999 blockbuster — Tank, Morpheus, Switch, Trinity all carry real weight — but anti-prejudice is not the film's lesson."", ""romance"": ""Trinity's love for Neo is narratively functional (it resurrects him at the climax), making romance present and plot-relevant but clearly subordinate to the identity/reality arc — balanced, not the prize.""}"
The Dark Knight,2008,,6,13,17,5,4,6,,,,,,"{""overall"": ""The Dark Knight is a morally serious crime epic whose emotional core — can a good man hold a line without becoming what he fights? — is genuinely deep and honest. However, Bruce Wayne's entire capacity to act is predicated on inherited billions, and the story never critiques that foundation; it simply uses it as infrastructure, landing the film near the Aladdin/Goodfellas band rather than the Cars band. Agency is strong but split: Batman makes the key moral choices, yet the Joker drives nearly every plot beat and Harvey Dent's arc resolves the thematic argument as much as Bruce's does."", ""wealth"": ""Bruce Wayne is a billionaire by birth whose wealth is the unexamined engine of all his capability; the story never critiques or earns this — it is pure inherited-greatness-as-infrastructure, placing it near the 0–10 band (Goodfellas 6, Aladdin 5)."", ""agency"": ""Batman makes the defining moral choices (the sonar machine, the final lie) but the Joker architects virtually every situation and Dent's tragedy resolves the thematic core, making this a strong-but-split case rather than a clean 17."", ""core"": ""The film's emotional core — whether a hero can maintain ethical limits under existential pressure, and what it costs society when he cannot — is as honest and deep as any in the rubric's top tier, comparable to Inside Out or Frozen in seriousness of intent."", ""music"": ""Hans Zimmer and James Newton Howard provide a powerful but purely instrumental score with no original songs; score-only lands at 5."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The film's world is overwhelmingly male and white with no meaningful representation and no prejudice lesson; Rachel Dawes exists primarily as motivation for male characters, a missed opportunity that constitutes passive exclusion rather than active harm."", ""romance"": ""Romance is entirely peripheral and ultimately killed off as a plot device rather than presented as a prize; it functions closer to subversion-by-elimination, earning a 6.""}"
American Gangster,2007,,4,13,8,5,2,3,,,,,,"{""overall"": ""American Gangster is a dual-protagonist crime epic in which Frank Lucas's ascension from driver to Harlem drug kingpin is the narrative engine, and the story endorses his empire-building with considerable glamour before a late moral reckoning that feels structurally insufficient to offset the glorification. The film sits firmly in the Scarface/Goodfellas band: status and wealth accumulation are the spectacle, and the climax is essentially a fall rather than a repudiation of the endorsed dream."", ""wealth"": ""Frank Lucas is self-made but the story's primary dramatic energy is invested in his rise to wealth and power — the fur coats, the Thanksgiving dinners, the 'Blue Magic' brand — placing it squarely in the 0-6 band where status ascension is the endorsed reward regardless of whether it was inherited or climbed."", ""agency"": ""Both Lucas and Richie Roberts drive their own arcs through deliberate choices, but the story is split between two protagonists and Lucas's ultimate resolution depends heavily on his cooperation deal — a structural assist — so strong-but-split agency lands at 13 rather than 17."", ""core"": ""There is a real thematic undercurrent about integrity, institutional corruption, and the American Dream's dark mirror, but it remains largely surface-level in execution — the film is more interested in procedural spectacle than deep emotional excavation, placing it at the standard adventure/crime-drama beat level."", ""music"": ""The film uses a licensed period soul and funk soundtrack that effectively evokes the 1970s Harlem setting but carries no original narrative songs; score-and-licensed-soundtrack band applies."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present): The film's Black characters are largely confined to criminal or victim roles while white institutional corruption is treated as a systemic backdrop rather than equal spectacle; the narrative othering of the Harlem community as a drug market, combined with the near-total absence of non-criminal Black agency, constitutes harmful framing present in the text."", ""romance"": ""Romance is present — Lucas's relationship with Eva and Roberts's failed marriage — but neither is framed as the prize; both are subordinate to the crime and law-enforcement arcs, landing in the balanced middle band.""}"
The Godfather,1972,,6,13,13,5,2,3,,,,,,"{""overall"": ""The Godfather is a story about Michael Corleone's transformation from ordinary outsider to crime patriarch, with the dynasty's power and status as the unambiguous structural reward — the film ends with him enthroned as Don, doors closing, the family empire intact. The narrative glorifies the ascension even as it hints at moral cost, placing it firmly in the low-wealth band. Agency is strong but split across Michael and Vito, and the emotional core — identity, loyalty, corruption of the soul — has real substance without reaching the deepest introspective registers."", ""wealth"": ""Status ascension is the endorsed structural outcome: Michael begins as the 'civilian' son and ends inheriting and consolidating the criminal empire, placing this squarely in the 0–10 band alongside Scarface and Goodfellas."", ""agency"": ""Michael drives his own transformation through deliberate, consequential choices (volunteering to meet Sollozzo, ordering the hits, consolidating power), but the story is ensemble-heavy and Vito's legacy and the family machinery do significant narrative work alongside him."", ""core"": ""The film has genuine substance in its exploration of loyalty, corruption, and the cost of power — Michael's soul-loss is a real arc — but it is more a crime saga than a deep interior emotional journey, landing at the 'real substance, simpler arc' band."", ""music"": ""Nino Rota's iconic score carries enormous atmospheric weight but there are no story-carrying original songs; this is score-only territory."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present): The film's portrayal of Italian-Americans is bound up with Mafia criminality as ethnic identity, and its treatment of women is consistently othering — they are kept ignorant, decorative, or peripheral by the story's own endorsed logic."", ""romance"": ""Romance is present (Michael's marriages) but is clearly subordinate to the power and loyalty themes; it is neither the prize nor actively subverted.""}"
Goodfellas,1990,,6,13,13,5,2,3,,,,,,"{""overall"": ""Goodfellas is a status-ascension story where the endorsed spectacle is the glamour of mob wealth and power, even as the ending nominally punishes Henry — the film spends 90% of its runtime glorifying the lifestyle it barely critiques. The structure endorses the climb far more than the fall, placing it firmly in the low-wealth band. Agency is real but destiny-assisted by Henry's mob connections and luck, and the emotional core is more about identity-through-belonging than deep honest grief."", ""wealth"": ""Status ascension is the engine and spectacle of the narrative; the 'punishment' ending is perfunctory compared to the extended glorification of mob wealth, landing it near the Scarface/Aladdin band (scored 6, slightly above Scarface's 4 for the thin ironic framing Scorsese provides)."", ""agency"": ""Henry drives most of his own choices — joining the mob, the Lufthansa heist, flipping — but luck, circumstance, and the mob infrastructure around him dilute pure self-determination, placing him in the strong-but-split band."", ""core"": ""There is real substance in the identity arc — Henry's lifelong need to belong to something that makes him feel special — but it is simpler and less emotionally excavated than a top-band film, landing at 13."", ""music"": ""The film uses an iconic licensed rock soundtrack rather than original songs or a composed score doing narrative heavy lifting; score-only/licensed band applies."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present): Italian-American and Irish characters are portrayed through ethnic mob stereotypes that are played for authenticity and cool rather than critique; women are largely props or shrews, and the text does not interrogate these framings."", ""romance"": ""Karen is a significant presence and the marriage is depicted with some complexity (her complicity, the affairs), making it balanced rather than 'being chosen as prize,' but it is clearly subordinate to the male status arc.""}"
Scarface,1983,,4,13,8,5,2,3,,,,,,"{""overall"": ""Scarface is a cautionary-tale-in-structure but the film's narrative energy overwhelmingly glorifies Tony Montana's violent ascension to drug-lord wealth and power, with his destruction framed as tragic rather than deserved — the story endorses the climb even as it punishes the climber. The emotional core is thin beneath the spectacle, and the reward structure is pure status acquisition. The rubric scores the endorsed outcome, and the film spends two-thirds of its runtime making Tony's rise look magnificent."", ""wealth"": ""Scores in the 0-band: Tony is a penniless refugee whose entire story arc is the pursuit and achievement of extreme wealth and criminal status, presented as aspirational spectacle — self-made ascension to endorsed status-as-reward lands squarely at the bottom of the scale, per the rubric's explicit note that self-made ascension is penalised equally with inherited ascension."", ""agency"": ""Tony drives virtually every plot decision himself — he chooses his alliances, executes his rivals, and engineers his own rise and fall — but his climactic last stand is partly destiny-assisted bravado and the resolution is death, so it sits in the strong-but-split band rather than a full 17."", ""core"": ""The film gestures at themes of the American Dream's corruption and immigrant ambition, but these remain surface-level; the actual emotional engine is power-lust and paranoia rather than a deep honest reckoning with identity or belonging, placing it in the standard-adventure/spectacle band."", ""music"": ""Giorgio Moroder's synthesizer score is atmospheric and period-defining but there are no story-carrying songs; the soundtrack functions as pure score/licensed-adjacent mood-setting, landing at the score-only band."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present in the text): Cuban and Latin characters are broadly rendered as violent criminals or corrupt officials, Elvira is a trophy object, and the film's world traffics in ethnic and gender stereotypes that are present and unremarked-upon in the text — consistent with the rubric's Scarface anchor of 2."", ""romance"": ""Elvira is partly a status trophy Tony acquires on the way up, but the marriage deteriorates and is not presented as the prize — romance is present and transactional but not the structural reward, placing it in the balanced middle band.""}"
The Wolf of Wall Street,2013,,2,13,8,5,0,0,,,,,,"{""overall"": ""The Wolf of Wall Street is a maximalist portrait of status-as-reward: Jordan Belfort climbs from nothing but the film's structure glorifies the ascent and the excess, never genuinely condemning it — the fourth-wall winks and the audience-as-marks final shot endorse the spectacle rather than critique it. Agency is high because Belfort drives every scene, but the emotional core is shallow hedonism dressed as satire, and women and minorities exist almost exclusively as props or punchlines."", ""wealth"": ""Scores in the 0-band: self-made ascension is still penalised when status and wealth are the endorsed reward, and the film's entire narrative engine is the glorification of that climb — the rubric explicitly cites this film at score 2."", ""agency"": ""Belfort is relentlessly active and drives his own story through his own choices at every turn, but the resolution is partly externally imposed (the FBI closes in) rather than a fully self-authored conclusion, landing in the strong-but-destiny/externally-assisted band."", ""core"": ""The surface is excess and crime, and while there are gestures toward emptiness and self-destruction, the film never excavates a genuinely honest emotional core — it remains at the level of standard rise-and-fall spectacle rather than grief, identity, or fear-vs-love."", ""music"": ""No original story-carrying songs; the film uses a licensed period soundtrack (Lemonheads, Billy Joel, etc.) as atmosphere rather than narrative engine, placing it in the score-only/licensed band."", ""inclusion"": ""Band 0/10 (Active degradation as spectacle): Women are systematically degraded as sexual objects and status props throughout; the Quaalude-fuelled set pieces, the 'chest-drumming' scene, and the near-total absence of non-white characters with interiority constitute active othering performed as spectacle for the audience's entertainment — the rubric explicitly cites this film at 0."", ""romance"": ""Marriage and women are purely transactional status symbols for Belfort — Naomi is literally a trophy acquisition and the second marriage is framed as an upgrade in the status hierarchy, making being-chosen-as-prize the operative logic throughout.""}"
The Princess and the Frog,2009,,34,15,15,10,8,3,,,,,,"{""overall"": ""Tiana is a self-made protagonist whose dream is a restaurant earned through relentless labor, not status — the rubric's own anchor example. The romance is present but balanced against her work ethic, and the emotional core is a genuine meditation on ambition, grief (her father's death), and what 'almost there' really costs. The film scores high across most dimensions because the story's endorsed reward is her livelihood, not the prince."", ""wealth"": ""Tiana is a working-class Black woman whose entire arc is about earning her dream through labor; the prince is broke and the reward is the restaurant, not status — the rubric explicitly anchors this film at 34."", ""agency"": ""Tiana drives nearly every key decision — she pursues the wish, she figures out Facilier's scheme, she chooses love — but Naveen's parallel arc and the climax's shared resolution dilute sole agency slightly below 17."", ""core"": ""The story is genuinely about the cost of single-minded ambition and what her late father's lesson really meant — real emotional substance, though slightly simpler than the deepest grief/identity arcs of Coco or Inside Out."", ""music"": ""Randy Newman's original songs ('Almost There,' 'Friends on the Other Side,' 'Down in New Orleans') carry character, theme, and plot in the classic Disney tradition — full marks."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The film centers a Black female protagonist in a historically white Disney canon and engages meaningfully with New Orleans culture, but anti-prejudice is not the explicit lesson the way it is in Zootopia or Mulan."", ""romance"": ""Romance is present and Naveen is a genuine partner, but the story's emotional and narrative weight rests on Tiana's dream and her father's legacy — the prince is not the prize.""}"
Willy Wonka & the Chocolate Factory,1971,,14,10,13,10,5,6,,,,,,"{""overall"": ""Charlie is a genuinely poor, honest kid whose virtue is rewarded — but the reward is inheriting an entire factory and fortune, which the rubric explicitly places in the low band regardless of how sympathetic the pursuit. The film has real emotional warmth and memorable songs, but the endorsed outcome is pure status ascension via being chosen by a wealthy eccentric."", ""wealth"": ""The rubric explicitly names this film (Willy Wonka 15) as a case where a poor honest kid whose reward is INHERITING THE FACTORY lands in the low band; I score 14 because the 'being chosen' mechanism is even more passive than a self-made climb — Charlie does nothing to earn the factory except not steal a gobstopper."", ""agency"": ""Charlie makes one pivotal moral choice (returning the Everlasting Gobstopper) that determines the outcome, but the contest structure, the golden ticket lottery, and Wonka's hidden test all frame the resolution as something assembled around Charlie rather than driven by him — split credit between his choice and Wonka's design puts this between 8 and 13."", ""core"": ""Beneath the fantasy spectacle is a genuine theme about integrity and goodness in the face of poverty and temptation — real substance, though it is delivered more as moral fable than deep emotional excavation."", ""music"": ""Original songs ('Pure Imagination,' 'The Candy Man,' 'I've Got a Golden Ticket') are woven directly into the story's emotional and narrative fabric, earning the top band."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The world is presented as a default homogeneous setting with no harmful stereotyping but no meaningful representation or anti-prejudice lesson; the Oompa Loompas as an imported exotic workforce is a missed-opportunity-at-best, passive-harm-at-worst element that keeps this from a 5."", ""romance"": ""Romance is entirely absent from the narrative; the prize is the factory, not a partner.""}"
