title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary,total,tier,segment,critic_minus_audience,safe_bet_index
ParaNorman,2012,,38,16,16,5,9,6,,,,,,"{""overall"": ""ParaNorman is a structurally generous film: its protagonist is a bullied, ordinary small-town kid whose marginalized 'gift' is the engine of the story, and the emotional core — that fear and trauma breed cycles of cruelty — is genuinely sophisticated. The story earns nearly every point it scores, with Norman solving his own climax through empathy rather than power."", ""wealth"": ""Norman is a completely ordinary kid from an unremarkable family; no wealth, status, or inheritance does narrative work — this sits comfortably in the 'genuinely ordinary protagonist' band near 40, with a tiny deduction for his ghost-seeing ability being innate rather than earned."", ""agency"": ""Norman drives almost every key decision and solves the climax himself through emotional courage and empathy — a near-17, docked one point only because the ensemble (Aggie's ghost, his sister, Neil) provides meaningful structural support at the finale."", ""core"": ""The film's real subject is how communities scapegoat the different and how trauma perpetuates cruelty across generations — this is honest, layered emotional territory that rivals the 17-band anchors, landing just below because Aggie's arc is slightly rushed."", ""music"": ""Score-only (by Jon Brion); no original songs carry the story — straightforward 5."", ""inclusion"": ""Band 9/10 (strong inclusion content, near-lesson level): anti-bullying and anti-othering are woven into every layer of the plot (Norman, Aggie, Mitch's casual gay reveal), and the witch-hunt allegory makes prejudice-as-cycle the explicit thesis, stopping just short of a 10 because the anti-prejudice message is delivered through horror-genre metaphor rather than direct confrontation."", ""romance"": ""Romance is entirely absent from Norman's arc; Mitch's sexuality is revealed as a casual subversion of the 'reward' trope — scores a full 6.""}",90,S,kids,,
E.T.,1982,PG,40,15,16,5,8,6,99.0,72.0,792.0,2614.0,,"{""overall"": ""Ordinary suburban kid of divorce; fear-of-the-other central; loneliness and connection core; score only."", ""wealth"": ""Suburban kid of divorce; painfully ordinary"", ""agency"": ""Shelters and frees E.T.; the alien does the flying"", ""core"": ""Loneliness finding connection; the divorce ache"", ""music"": ""The greatest score ever written; still no songs"", ""inclusion"": ""Band 8/10 (strong, secondary): children empathize with the other while institutions bring quarantine suits and guns"", ""romance"": ""None""}",90,S,kids,,
Flow,2024,,40,17,17,5,5,6,,,,,,"{""overall"": ""Flow is a wordless Latvian animated film following an ordinary stray cat navigating a post-apocalyptic flood alongside other animals. The protagonist is as far from inherited specialness as possible — a small, solitary cat with no destiny, no lineage, and no chosen-one status — who survives entirely through its own choices and instincts. The emotional core is genuinely deep: solitude vs. community, trust, loss, and the courage to accept connection after trauma."", ""wealth"": ""The cat is a nameless stray with nothing; no status, no inheritance, no reward of wealth or ascension — the story could happen to any creature, anchoring firmly at 40."", ""agency"": ""The cat drives every decision in the narrative — when to flee, when to trust, when to act — and resolves the climax through its own choices with no rescue assembled around it, earning a full 17."", ""core"": ""The film's emotional core is rich and honest: it is fundamentally about a solitary, trauma-shaped creature learning to accept interdependence and community without losing itself — grief, trust, and belonging rendered without a single word."", ""music"": ""The film uses an orchestral score (no original songs, no diegetic musical numbers) to carry atmosphere and emotion, placing it squarely in the score-only band at 5."", ""inclusion"": ""Band 5/10 (Neutral): The cast is entirely non-human animals with no human characters, so no group is harmed or taught about, but no inclusion lesson is present either — a clean neutral."", ""romance"": ""Romance is entirely absent from the narrative; the film's relationships are purely about survival and inter-species trust, earning a full 6.""}",90,S,kids,,
Coraline,2009,,38,16,17,8,5,6,,,,,,"{""overall"": ""Coraline is a structurally rich film about a genuinely ordinary girl who earns her victory through courage and wit against a supernatural predator; the story's emotional core — the danger of fantasy over imperfect reality, and the love we take for granted — is honest and deep. The protagonist is not special by birth, the reward is her real family and home, and she solves the climax herself."", ""wealth"": ""Coraline's family is modestly struggling (they've just moved, parents are overworked freelancers); no inherited status does narrative work, placing this squarely near the 40-anchor of ordinary protagonists — docked only slightly because the Other World's seductive wealth is a plot engine, even if critiqued."", ""agency"": ""Coraline drives nearly every key decision — she explores the door, she challenges the Other Mother, she devises and executes the game to free the ghost children and her parents — but the ghost children's guidance and the cat's assistance dilute sole authorship just enough to keep it from a clean 17."", ""core"": ""The film's emotional core is genuinely deep: it is about ingratitude, the terror of getting what you wish for, and learning to love imperfect reality over seductive illusion — anchored in real childhood loneliness and fear, earning the 17-band."", ""music"": ""Bruno Coulais's original score and the diegetic songs (the garden song, the circus number) carry atmosphere and story beats meaningfully, but the film is not a musical in the Frozen/Moana sense, placing it in the strong-score-with-diegetic-highlights band."", ""inclusion"": ""Band 5/10 (Neutral): The cast is largely non-human or fantastical in the Other World, and the real-world cast is small and predominantly white with no harmful stereotyping and no inclusion lesson — a neutral, nothing-taught result."", ""romance"": ""Romance is entirely absent from Coraline's arc; Wybie is a friend, not a prize, and no marriage or being-chosen dynamic exists, earning the full 6.""}",90,S,kids,,
Turning Red,2022,PG,32,17,17,8,10,6,95.0,73.0,21.0,23.0,,"{""overall"": ""Hereditary panda is inherited magic (dock); puberty/generational-expectation core is elite; culture centered; boy-band songs are diegetic."", ""wealth"": ""The hereditary panda is inherited magic"", ""agency"": ""Mei chooses to keep the panda"", ""core"": ""Puberty and generational expectation, elite"", ""music"": ""Diegetic boy-band songs"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): difference (the panda) moves from shame to acceptance; Chinese-Canadian culture centered"", ""romance"": ""Crushes as comedy, never prize""}",90,S,kids,,
The Brave Little Toaster,1987,,38,13,17,10,5,6,,,,,,"{""overall"": ""The Brave Little Toaster is a deeply emotional story about ordinary household appliances who earn every inch of their journey through loyalty, sacrifice, and perseverance — no one is born special, and the reward is belonging rather than status. The emotional core is genuinely rich, exploring fear of obsolescence, devotion, and self-worth, while original songs carry the story beat by beat. The one structural caveat is that the climax involves a degree of shared/luck-assisted resolution, keeping agency out of the top band."", ""wealth"": ""The protagonists are discarded appliances with no status whatsoever, and the reward is reunion and belonging — not wealth or ascension — firmly anchoring this near the top of the band alongside Inside Out and Spirited Away."", ""agency"": ""The ensemble drives the journey through their own choices and sacrifices, but the climactic rescue involves Robbie (the Master) arriving to save Toaster from the crusher, splitting the solving between protagonist action and external rescue — strong but not fully self-contained."", ""core"": ""The film's emotional engine is fear of abandonment, the need to feel valued, and the courage to sacrifice for love — honest, layered themes that rival Coco and Up in sincerity for their target register."", ""music"": ""Original songs ('It's a B-Movie,' 'Worthless,' 'Cutting Edge,' 'City of Light') are fully integrated into the narrative and carry genuine emotional and thematic weight, earning the top band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The ensemble is diverse in personality and function, and the film actively validates the worth of the overlooked and discarded — most powerfully in 'Worthless' — but anti-prejudice is not the central lesson."", ""romance"": ""Romance is entirely absent from the narrative; the emotional bonds are platonic devotion and loyalty, earning the top band.""}",89,A,kids,,
Luca,2021,PG,38,15,15,5,10,6,91.0,85.0,51.0,60.0,,"{""overall"": ""Ordinary sea-monster kid; prejudice against sea monsters IS the plot; Silenzio Bruno core solid; score only."", ""wealth"": ""Ordinary sea-monster kid"", ""agency"": ""Silenzio Bruno; chooses the surface"", ""core"": ""Friendship and letting friends grow"", ""music"": ""Score only"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): sea-monster prejudice and its dissolution is the plot"", ""romance"": ""None""}",89,A,kids,,
Finding Nemo,2003,G,40,14,17,5,7,6,99.0,86.0,940.0,1617.0,,"{""overall"": ""Ordinary fish; opens with maternal death; overprotective-parenting core is elite; agency split across three characters; lucky fin is quiet disability inclusion."", ""wealth"": ""Ordinary fish; nothing inherited but trauma"", ""agency"": ""Split three ways; everyone acts, no one owns it"", ""core"": ""Overprotection as love's failure mode"", ""music"": ""Score only"", ""inclusion"": ""Band 7/10 (representation, not the lesson): the lucky fin: disability as fact not lesson; Dory's difference as strength"", ""romance"": ""None""}",89,A,kids,,
Finding Dory,2016,,39,15,16,5,8,6,,,,,,"{""overall"": ""Finding Dory is a genuinely ordinary-protagonist story about a disabled fish with short-term memory loss searching for her family — no inherited status, no wealth reward, just identity and belonging. The emotional core is honest and specific: disability, fear of abandonment, and the love of found and biological family. Agency is strong but slightly diluted by the ensemble of helpers who assemble around Dory at key moments."", ""wealth"": ""Dory is a reef fish with no status whatsoever; the reward is reunion and belonging, not wealth or ascension — firmly in the 40-band, docked one point only because the Marine Life Institute setting briefly frames human-controlled resources as the path to resolution."", ""agency"": ""Dory drives the entire quest through her own choices and flashes of memory-triggered instinct, but Marlin, Nemo, Hank, and others solve several specific obstacles on her behalf, placing this in the strong-but-split band rather than a clean 17."", ""core"": ""The film's emotional engine is disability, identity, and the fear that one's limitations make one unlovable — a deep and honest core that earns the high band, docked one point from 17 because the resolution leans slightly toward reassurance over genuine complexity."", ""music"": ""Score-only (Thomas Newman); no original songs carry the narrative — standard 5-band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): Dory's short-term memory loss is treated as a genuine disability that shapes the entire plot with dignity and without mockery, and the ensemble includes characters with physical differences (Hank's missing tentacle, Gerald's social exclusion); inclusion is a strong secondary theme but the film's primary arc is family reunion rather than an anti-prejudice lesson."", ""romance"": ""Romance is entirely absent from the narrative — scores the full 6.""}",89,A,kids,,
Babe,1995,,38,15,15,5,10,6,,,,,,"{""overall"": ""Babe is a story about an entirely ordinary pig who earns his place through kindness, curiosity, and determined effort — the farm is not a prize but a community he must win over by doing. The emotional core is genuinely about prejudice, identity, and the power of treating others with dignity, and the structure endorses those values without reservation."", ""wealth"": ""Babe is a fairground piglet with no inherited status; the farm he arrives at is not a reward but a setting he must navigate, and his success comes entirely from what he does — firmly in the 'genuinely ordinary protagonist' band, docking only 2 points because Farmer Hoggett's ownership and the sheepdog trial prize money are mild structural givens."", ""agency"": ""Babe drives his own arc — he chooses to herd sheep, he asks the duck for the password, he persuades Ferdinand, and he performs at the trial — but Farmer Hoggett's crucial interventions (defending him, entering him, whispering to him at the climax) dilute full solo agency, placing this in the strong-but-split band."", ""core"": ""The film is genuinely about prejudice and identity — every animal is defined by what they are 'supposed' to be, and Babe's arc is a sustained argument that kindness and courtesy can transcend those categories — real substance, though slightly simpler in emotional register than the deepest examples."", ""music"": ""The film uses a recurring choral score and the iconic 'If I Had Words' diegetically, but there are no original story-carrying songs; score-and-licensed-track band applies."", ""inclusion"": ""Band 10/10 (inclusion/anti-prejudice IS the lesson): The entire plot is structured around species-based prejudice — cats, dogs, sheep, and pigs are all locked into social roles by birth, and Babe's victory is explicitly a victory over that system; anti-prejudice is not subtext but the engine of the narrative."", ""romance"": ""Romance is entirely absent from Babe's story; the 6-point band applies without qualification.""}",89,A,kids,,
James and the Giant Peach,1996,,38,15,15,8,7,6,,,,,,"{""overall"": ""James is a genuinely ordinary, impoverished orphan boy whose escape from abuse and arrival in New York is earned through courage, ingenuity, and friendship — not birth or status. The story's emotional core is grief, loneliness, and finding chosen family, which is real and affecting even if somewhat simply rendered. The structure endorses effort and belonging over any kind of inherited or climbed status."", ""wealth"": ""James starts with nothing and ends with nothing material — his reward is friendship and freedom in a New York City attic, firmly in the 'ordinary protagonist, no status ascension' band near 40; a small deduction because the magical peach is a gift from a stranger rather than something James generates himself."", ""agency"": ""James drives most of the key decisions — steering the peach, rallying the insects, defeating the rhino — but the initial magical catalyst is externally granted and the insect companions share meaningful problem-solving, landing this in the strong-but-split band rather than a full 17."", ""core"": ""The story is genuinely about grief (dead parents), abuse, loneliness, and the courage to trust new companions — real emotional substance, though the arc is resolved somewhat briskly in the Roald Dahl tradition, placing it at the 'real substance, simpler arc' band."", ""music"": ""Randy Newman's original songs ('My Name Is James,' 'That's the Life,' 'Eating the Peach') carry character and story beats meaningfully but are not as thematically integrated or memorable as the top-tier Frozen/Moana canon, fitting the strong-songs-with-gaps band."", ""inclusion"": ""Band 7/10 (Meaningful representation, not the lesson): The insect ensemble is diverse in personality and voice, and the film implicitly celebrates outcasts and misfits finding community, but anti-prejudice is not the explicit lesson — it's backdrop to James's personal journey."", ""romance"": ""Romance is entirely absent from the narrative; the relationships are all platonic friendship and found-family, placing this squarely in the 'absent or actively subverted' band.""}",89,A,kids,,
Spirit: Stallion of the Cimarron,2002,,38,15,15,8,8,5,,,,,,"{""overall"": ""Spirit is a genuinely ordinary wild horse whose story is about freedom, identity, and resistance to domination — not status or wealth. He earns every outcome through stubborn will and physical endurance, though the human ally Rain and Little Creek provide meaningful assistance at the climax. The emotional core is honest and resonant: belonging to a land and a herd, not a throne."", ""wealth"": ""Spirit is born a wild stallion — leader of a herd by earned respect, not inherited title — and the story's endorsed reward is freedom and return to homeland, not status; scores near the top band."", ""agency"": ""Spirit drives nearly every escape and act of resistance himself, but the climax depends meaningfully on Little Creek's intervention and Rain's sacrifice, pulling it just below a pure 17."", ""core"": ""The film's emotional engine is freedom vs. captivity, identity, and belonging to a place and people — real substance, though delivered with a simpler arc than the deepest examples in the top band."", ""music"": ""Bryan Adams's songs are original, emotionally keyed to the narrative, and carry the story in lieu of dialogue, but they function more as external commentary than fully integrated musical theatre numbers, placing this in the strong-but-not-perfect band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The Lakota people are portrayed with dignity and cultural specificity as Spirit's allies against colonial military force — a meaningful anti-colonial framing — but the anti-prejudice theme is secondary to the freedom/identity arc."", ""romance"": ""A brief romantic subplot with Rain exists but is clearly subordinate to the freedom narrative and does not frame being-chosen as the prize; Spirit ultimately chooses herd and homeland over the mare.""}",89,A,kids,,
Brother Bear,2003,,38,13,15,8,8,6,,,,,,"{""overall"": ""Brother Bear is a genuinely ordinary-protagonist story about a young Inuit hunter who must earn his humanity back through empathy and sacrifice — no inherited status drives the plot. The emotional core about perspective, grief, and brotherhood is real and affecting, though the agency is slightly diluted by the spiritual/totem machinery that frames Kenai's transformation."", ""wealth"": ""Kenai is a regular member of a small tribal community with no special status or wealth; the story could happen to any young man in that world, landing firmly in the 40-band with only a tiny deduction for the totem-ceremony framing that singles him out slightly."", ""agency"": ""Kenai makes the central moral choice himself — to return Koda to the salmon run, to face Denahi, and ultimately to choose bear-hood — but the Great Spirits and the totem system do meaningful narrative work around him, splitting the band toward 13-14."", ""core"": ""The film's honest emotional core is empathy and grief: Kenai must literally inhabit the perspective of those he wronged, and Koda's discovery that Kenai killed his mother is a genuinely painful beat — real substance, though the arc resolves a touch neatly."", ""music"": ""Phil Collins's original songs (especially 'On My Way' and 'Look Through My Eyes') carry emotional momentum and are woven into the story, but the diegetic integration is looser than a Moana or Frozen, placing it in the strong-songs-with-gaps band."", ""inclusion"": ""Band 9/10 (strong inclusion, near-lesson): the entire film's thesis is that the 'other' deserves empathy and that prejudice (Kenai's view of bears as monsters) is literally murderous — anti-prejudice is the spine of the plot, stopping just short of a 10 because the human/animal divide is metaphorical rather than a real-world group."", ""romance"": ""Romance is entirely absent from the narrative; the central bonds are fraternal and familial, scoring the full 6.""}",88,A,kids,,
Encanto,2021,PG,28,17,17,10,10,6,91.0,90.0,256.0,300.0,,"{""overall"": ""Gift hierarchy critiqued but Madrigals remain revered special family, magic restored; intergenerational trauma core; exclusion-within-family plot; Miranda songs."", ""wealth"": ""Gift hierarchy critiqued; the revered family is restored"", ""agency"": ""Mirabel fixes the family giftless"", ""core"": ""Intergenerational trauma named for kids"", ""music"": ""Miranda songs; Bruno omnipresent"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): exclusion within one's own family for lacking a gift is the entire plot"", ""romance"": ""None""}",88,A,kids,,
Cats Don't Dance,1997,,38,15,13,9,10,3,,,,,,"{""overall"": ""Cats Don't Dance is a scrappy, earnest underdog story about a nobody cat from Kokomo who earns his big break through talent, persistence, and solidarity with other marginalized performers — the story's engine is systemic exclusion of non-human animals from Hollywood stardom, making anti-prejudice the explicit lesson. Danny is genuinely ordinary and self-made; the reward is artistic recognition, not status or wealth."", ""wealth"": ""Danny is a broke small-town cat with no connections or birthright; he earns everything through effort and ingenuity, firmly in the 40-band, docked only slightly because the climax requires assembling allies and a lucky showcase moment."", ""agency"": ""Danny drives the plan, organizes the animals, and engineers the climactic performance himself, but the resolution is somewhat ensemble-assembled and Sawyer's change of heart is pivotal — strong but split, landing at 15 rather than 17."", ""core"": ""The film is genuinely about the pain of being told you don't belong and the courage to demand recognition anyway — real substance, though the arc is relatively simple and the emotional beats are delivered with a light touch."", ""music"": ""Mark Heyman/Randy Newman songs ('Our Time Has Come,' 'Nothing's Gonna Stop Us Now,' 'Big and Loud') actively carry the story's themes and character arcs, falling just short of a 10 because the score fills gaps between numbers and the songs are less canonically celebrated than Frozen or Moana."", ""inclusion"": ""Band 10/10 (inclusion/anti-prejudice IS the lesson): The entire plot is a systemic-discrimination allegory — non-human animals are literally barred from starring roles in Hollywood, and the climax is an act of collective resistance against that exclusion; prejudice-as-plot is the film's entire reason for being."", ""romance"": ""A gentle romance between Danny and Sawyer is present and sweet but is clearly secondary to the professional/artistic goal; being chosen romantically is never framed as the prize.""}",88,A,kids,,
